Partlist

Exported from 13+1 Port-Backplane.sch at 09.04.22 21:37

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value          Device       Package               Library    Sheet

S1       EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S2       EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S3       EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S4       EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S5       EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S6       EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S7       EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S8       EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S9       EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S10      EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S11      EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S12      EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S13      EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
S14      EDGECON-24P    EDGECON-24P  LEDSEE-BOARDCONN24PIN Ledsee     1
U$6      SOLPAD-1,6MM   SOLPAD-1,6MM SOLDERPAD1.5MM        holes_Ivan 1
U$7      SOLPAD-1,6MM   SOLPAD-1,6MM SOLDERPAD1.5MM        holes_Ivan 1
U$8      SOLPAD-1,6MM   SOLPAD-1,6MM SOLDERPAD1.5MM        holes_Ivan 1
U$9      SOLPAD-1,6MM   SOLPAD-1,6MM SOLDERPAD1.5MM        holes_Ivan 1
U$10     SOLPAD-1,6MM   SOLPAD-1,6MM SOLDERPAD1.5MM        holes_Ivan 1
U$11     SOLPAD-1,6MM   SOLPAD-1,6MM SOLDERPAD1.5MM        holes_Ivan 1
